"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0926","social","male","yes",0.33,0.45,0.33,0.5,0.5,0,0,0,0,0,0,0,0,0.27,0.73,0.76,0.63013698630137,0.671232876712329
"user0927","social","male","yes",0.75,0.3,0.93,0.94,0.78,822,142,593,229,67,75,822,142,0,0.64,0.9,0.64,0.9
"user0928","social","female","no",0.42,0.55,0.87,0.67,0,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0929","social","male","yes",0.5,0.6,0.6,0.67,0.5,0,0,0,0,0,0,0,0,0.18,0.36,0.78,0.219512195121951,0.731707317073171
"user0930","social","male","yes",0.58,0.65,0.73,0.56,0.56,1056,103,923,133,22,81,383,91,0.55,0.73,0.86,0.4,0.688888888888889
"user0931","social","male","yes",0.67,0.6,0.47,0.56,0.56,0,0,0,0,0,0,0,0,0.45,NA,0.92,NA,0.854545454545454
"user0932","social","female","no",0.33,0.1,0.47,0.56,0.44,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0933","social","female","yes",0.33,0.25,0.6,0.33,0.33,0,0,0,0,0,0,0,0,0.09,0.09,0.75,0,0.725274725274725
"user0934","social","female","yes",1,1,0.93,1,1,831,113,538,293,16,97,528,56,0,0.64,0.86,0.64,0.86
"user0935","social","male","no",0.67,0.4,0.6,0.78,0.67,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0936","social","male","yes",0.58,0.65,0.53,0.67,0.39,0,0,0,0,0,0,0,0,0,0.09,0.25,0.09,0.25
"user0937","social","male","yes",0.58,0.2,0.93,0.67,0.72,0,0,0,0,0,0,0,0,0.09,0.27,0.55,0.197802197802198,0.505494505494506
"user0938","social","male","yes",0.5,0.6,0.67,0.67,0.83,0,0,0,0,0,0,0,0,0.18,0.18,0.86,0,0.829268292682927
"user0939","social","female","yes",0.5,0.6,0.87,0.83,0.39,0,0,0,0,0,0,0,0,0.09,0.36,0.86,0.296703296703297,0.846153846153846
